NAME,LONGDD,LATDD
ABABULE,39.78,0.95
ABACHULA,39.53,-0.6
ABADARANT,40.53,1.53
ABAGERANSO,40.32,1.75
ABAHAMA,39.87,-0.82
ABACHULA,39.05,-0.53
ABAKDER,40.27,1.03
ABAKDERA,39.85,-0.52
ABAKFIN,40.65,1.73
ABAKUNO,39.45,-1.87
ABALO,38.88,3.12
ABAMAGADO,38.02,1.52
ABAROT,39.75,-0.58
ABARAT,39.72,-0.57
ABDURRAHMAN EL,40.05,2.88
ABERDAREFOREST,36.07,-0.05
ABERDARENATIONALPARK,36.07,-0.42
ABIERO,34.25,-0.18
ABILIAGITUK,36.6,2.42
ABLA,40.45,4.1
ABOBOKA,38.98,-2.07
ABOM,34.35,-0.03
ABOMSUBLOCATION,34.03,-0.07
ABORE,39.08,0.53
ABOS,35.08,-0.9
ABOSI,35.07,-0.9
ABSEGE,35.72,-0.55
ABULO,40.6,3.08
ABUNDU,34.05,-0.37
ABURADAM,34.3,0.08
ABURRYO,35.68,0.68
ABURUTIN,36.2,0.85
ABWAW,34.37,-1.03
ACHAR,34.03,-0.25
ACHEGO,34.58,-0.52
ACHIERO,34.05,-0.6
ACHOL,34.35,-0.53
ACHUME,34.58,-0.52
ACHUTH,34.53,-1.03
ACTONROAD,34.72,-0.05
ADABLI,40.43,0.82
ADABOTA,39.53,-0.42
ADADA,38.9,3.05
ADADI,38.77,3.4
ADE,39.12,2.6
ADE WEL,40.97,1.65
ADEDERTU,39.78,-0.35
ADEDER,40.68,0.3
ADEDER,40.43,0.78
ADENAWALE,39.27,2.13
ADENKAALIGOLIO,40.1,2.63
ADHIRO,34.53,-0.38
ADDI,39.3,-1.85
ADI EL,37.55,3.82
ADI KUBI,38.03,2.32
ADIEDO,34.6,-0.43
ADILE,39.7,3.03
ADIMASAWMILL,35.97,-0.57
ADINGO,34.93,-0.35
ADINGOOPANGA,34.85,-0.37
ADOMEYAN,36.12,0.85
AFALO,40.22,3.52
AFAMBUK,39.02,-0.02
AFAR,39.25,3.03
AFATU,40.28,2.37
AFGAB,37.53,3.18
AFGUDUD LAGA,38.78,2.87
AFIEJI LAGA,39.75,-2.13
AFTUTI,39.32,-2.47
AFUR,37.12,4.32
AFWEIN,39.42,0.43
AFWEIN LAK,39.65,0.48
AFYUR,40.08,1.65
AGA,39.58,-0.6
AGA,39.57,-0.6
AGAI,35.57,-0.4
AGENGA,34.25,-0.93
AGENGA,34.65,-0.05
AGOLOMUOK,34.12,-0.78
AGONDA,34.03,-0.02
AGORO,34.95,-0.25
AGORO,34.8,-0.05
AGOROSARE,34.73,-0.05
AGOROSUBLOCATION,34.03,0.07
AGOROSUBLOCATION,34.98,-0.27
AGULO,34.52,-0.58
AGULU,34.27,0.13
AGULO,34.07,-0.55
AHERO,34.92,-0.18
AHMEDGHONGHO,40.48,-1.58
AHONO,34.55,0.07
AIMO,34.6,-0.57
AIMO,34.62,-0.57
AINAPLAKWET,35.27,-0.68
AINOBNGETUNYEK,35.38,-0.73
AINOMOTUA,35.07,-0.07
AINOPNO,35.92,0.4
AINOPSIWA,35.18,-0.03
AINTREEESTATE,36.88,-1.2
AIRIRUA,36.98,2.15
AISAIK,35.35,-0.72
AJAO,39.72,2.93
AJAO,39.7,2.95
AJAMARKU,37.9,2.27
AJIGO,34.35,-0.1
AJIGOSUBLOCATION,34.3,-0.08
AJILAJISO,39.72,-2.12
AKALA,34.43,-0.07
AKALA,34.25,-0.97
AKALAR,39.08,0.53
AKALAR,40.82,1.7
AKARA,34.2,0.05
AKECH,34.48,-0.53
AKELOSVILLAGE,34.58,-0.63
AKHALAR,40.2,0.92
AKIJO,34.45,-0.73
AKILARANCH,36.37,-1.03
AKIRIAMET,35.7,1.03
AKIRIAMETSUBLOCATION,35.77,1.37
AKITE,34.2,0.57
AKITE,34.22,0.53
AKOKO,34.58,-1.02
AKOKO,34.2,-0.15
AKOM,34.15,-0.77
AKORET,34.22,0.6
AKOROYANSUBLOCATION,35.98,0.63
AKOTHIMA,37.97,0.03
ALALBANDEDACH,39.47,2.7
ALALE,40.27,3.55
ALANGAARBA,40.42,0.12
