SLID,SLNAME,LOCID,LOCNAME,DIVID,DIVNAME,DISTID,DISTNAME,PROVID,PROVNAME,CONSTITUEN,CONST_CODE,SUM_HOUSEH,SUM_MALES,SUM_FEMALE,SUM_TOTAL,SUM_GRTOTA,AREA_KM2,GRTOT_DENS
101010101.00000,CITY CENTRE,1010101.00000,STAREHE,10101.00000,CENTRAL,101.00000,NAIROBI,1.00000,NAIROBI,STAREHE,3,2313,4743,3635,8378,12542,1.33554,9390.95800
101010102.00000,CITY SQUARE,1010101.00000,STAREHE,10101.00000,CENTRAL,101.00000,NAIROBI,1.00000,NAIROBI,STAREHE,3,95,163,117,280,1609,1.28275,1254.33640
101010201.00000,PANGANI,1010102.00000,KARIOKOR,10101.00000,CENTRAL,101.00000,NAIROBI,1.00000,NAIROBI,STAREHE,3,5717,11246,11308,22554,22933,1.02637,22343.79410
101010202.00000,ZIWANI KARIOKOR,1010102.00000,KARIOKOR,10101.00000,CENTRAL,101.00000,NAIROBI,1.00000,NAIROBI,STAREHE,3,2538,5689,4969,10658,11042,1.39973,7888.66420
101010301.00000,MATHARE,1010103.00000,MATHARE,10101.00000,CENTRAL,101.00000,NAIROBI,1.00000,NAIROBI,STAREHE,3,9239,14767,10628,25395,25501,0.74617,34175.85800
101010302.00000,MABATINI,1010103.00000,MATHARE,10101.00000,CENTRAL,101.00000,NAIROBI,1.00000,NAIROBI,STAREHE,3,6105,9806,7446,17252,17260,0.24378,70801.54240
101010303.00000,MLANGO KUBWA,1010103.00000,MATHARE,10101.00000,CENTRAL,101.00000,NAIROBI,1.00000,NAIROBI,STAREHE,3,9406,14235,11302,25537,25986,0.59733,43503.59100
101010401.00000,KIAMAIKO,1010104.00000,HURUMA,10101.00000,CENTRAL,101.00000,NAIROBI,1.00000,NAIROBI,STAREHE,3,8586,14176,13430,27606,28282,0.68007,41586.89550
101010402.00000,HURUMA,1010104.00000,HURUMA,10101.00000,CENTRAL,101.00000,NAIROBI,1.00000,NAIROBI,STAREHE,3,19260,31658,27320,58978,59104,0.70215,84175.74590
101010501.00000,NGARA EAST,1010105.00000,NGARA,10101.00000,CENTRAL,101.00000,NAIROBI,1.00000,NAIROBI,STAREHE,3,3961,6988,6783,13771,14363,1.39756,10277.19740
101010502.00000,NGARA WEST,1010105.00000,NGARA,10101.00000,CENTRAL,101.00000,NAIROBI,1.00000,NAIROBI,STAREHE,3,2629,5238,4463,9701,9795,1.31049,7474.30350
101020101.00000,MAKONGENI,1010201.00000,MAKONGENI,10102.00000,MAKADARA,101.00000,NAIROBI,1.00000,NAIROBI,MAKADARA,1,4328,8156,6294,14450,14506,0.70016,20718.12160
101020102.00000,KALOLENI,1010201.00000,MAKONGENI,10102.00000,MAKADARA,101.00000,NAIROBI,1.00000,NAIROBI,MAKADARA,1,1384,3048,2496,5544,5550,0.61069,9088.08070
101020201.00000,HAMZA,1010202.00000,MAKADARA,10102.00000,MAKADARA,101.00000,NAIROBI,1.00000,NAIROBI,MAKADARA,1,4465,7656,6446,14102,14116,0.86894,16245.08020
101020202.00000,HARAMBEE,1010202.00000,MAKADARA,10102.00000,MAKADARA,101.00000,NAIROBI,1.00000,NAIROBI,MAKADARA,1,6362,14075,16393,30468,30978,2.27842,13596.26410
101020203.00000,LUMUMBA,1010202.00000,MAKADARA,10102.00000,MAKADARA,101.00000,NAIROBI,1.00000,NAIROBI,MAKADARA,1,1535,3327,3240,6567,6569,0.36891,17806.51110
101020301.00000,MBOTELA,1010203.00000,MARINGO,10102.00000,MAKADARA,101.00000,NAIROBI,1.00000,NAIROBI,MAKADARA,1,3166,6285,5277,11562,11576,0.52836,21909.30430
101020302.00000,OFAFA,1010203.00000,MARINGO,10102.00000,MAKADARA,101.00000,NAIROBI,1.00000,NAIROBI,MAKADARA,1,4529,8989,7880,16869,16925,1.02146,16569.42020
101020401.00000,LAND MAWE,1010204.00000,VIWANDA,10102.00000,MAKADARA,101.00000,NAIROBI,1.00000,NAIROBI,MAKADARA,1,9438,15759,9776,25535,25605,5.58369,4585.67720
101020402.00000,VIWANDA,1010204.00000,VIWANDA,10102.00000,MAKADARA,101.00000,NAIROBI,1.00000,NAIROBI,MAKADARA,1,13523,20056,12937,32993,33039,5.79682,5699.50420
101020501.00000,HAZINA,1010205.00000,MUKURU NYAYO,10102.00000,MAKADARA,101.00000,NAIROBI,1.00000,NAIROBI,MAKADARA,1,2900,5784,6756,12540,12564,1.12645,11153.62420
101020502.00000,NAIROBI SOUTH,1010205.00000,MUKURU NYAYO,10102.00000,MAKADARA,101.00000,NAIROBI,1.00000,NAIROBI,MAKADARA,1,7526,13269,10524,23793,23793,1.23633,19244.86180
101030101.00000,KARIOBANGI NORTH,1010301.00000,KARIOBANGI,10103.00000,KASARANI,101.00000,NAIROBI,1.00000,NAIROBI,KASARANI,7,10316,17038,14681,31719,31905,1.15873,27534.45580
101030102.00000,BABA NDOGO,1010301.00000,KARIOBANGI,10103.00000,KASARANI,101.00000,NAIROBI,1.00000,NAIROBI,KASARANI,7,12723,21543,17762,39305,39373,3.93718,10000.30480
101030201.00000,GITATHURU,1010302.00000,KOROGOCHO,10103.00000,KASARANI,101.00000,NAIROBI,1.00000,NAIROBI,KASARANI,7,7585,12667,10445,23112,23119,0.31677,72983.55270
101030202.00000,NYAYO,1010302.00000,KOROGOCHO,10103.00000,KASARANI,101.00000,NAIROBI,1.00000,NAIROBI,KASARANI,7,7260,11525,9479,21004,21022,0.59905,35092.22940
101030301.00000,KIWANJA,1010303.00000,KAHAWA,10103.00000,KASARANI,101.00000,NAIROBI,1.00000,NAIROBI,KASARANI,7,1325,5750,4305,10055,10055,6.75481,1488.56890
101030302.00000,KAHAWA WEST/NJUA,1010303.00000,KAHAWA,10103.00000,KASARANI,101.00000,NAIROBI,1.00000,NAIROBI,KASARANI,7,4636,7121,7193,14314,14343,6.91947,2072.84660
101030303.00000,KONGO SOWETO,1010303.00000,KAHAWA,10103.00000,KASARANI,101.00000,NAIROBI,1.00000,NAIROBI,KASARANI,7,2418,3853,4021,7874,7874,1.14590,6871.45480
101030401.00000,GITHURAI,1010304.00000,GITHURAI,10103.00000,KASARANI,101.00000,NAIROBI,1.00000,NAIROBI,KASARANI,7,14711,22692,23130,45822,45903,3.90551,11753.39460
101030402.00000,KAMUTHI,1010304.00000,GITHURAI,10103.00000,KASARANI,101.00000,NAIROBI,1.00000,NAIROBI,KASARANI,7,575,1141,1124,2265,2265,1.21998,1856.58780
101030501.00000,AREA 4A,1010305.00000,RUARAKA,10103.00000,KASARANI,101.00000,NAIROBI,1.00000,NAIROBI,KASARANI,7,6041,10087,6910,16997,16997,0.27721,61314.52690
101030502.00000,UTALII,1010305.00000,RUARAKA,10103.00000,KASARANI,101.00000,NAIROBI,1.00000,NAIROBI,KASARANI,7,4372,7247,5526,12773,12831,1.49149,8602.80660
101030503.00000,MATHARE NORTH,1010305.00000,RUARAKA,10103.00000,KASARANI,101.00000,NAIROBI,1.00000,NAIROBI,KASARANI,7,16456,26874,22288,49162,49251,0.69836,70523.79860
101030601.00000,ROYSAMBU,1010306.00000,ROYSAMBU,10103.00000,KASARANI,101.00000,NAIROBI,1.00000,NAIROBI,KASARANI,7,4037,6723,5449,12172,12431,14.62437,850.01950
101030602.00000,GARDEN,1010306.00000,ROYSAMBU,10103.00000,KASARANI,101.00000,NAIROBI,1.00000,NAIROBI,KASARANI,7,3274,6328,4153,10481,10643,7.82926,1359.38770
101030603.00000,NJATHAINI,1010306.00000,ROYSAMBU,10103.00000,KASARANI,101.00000,NAIROBI,1.00000,NAIROBI,KASARANI,7,1517,2302,2082,4384,4418,5.73773,769.99090
101030701.00000,MWIKI,1010307.00000,KASARANI,10103.00000,KASARANI,101.00000,NAIROBI,1.00000,NAIROBI,KASARANI,7,5696,9101,8348,17449,17502,17.58477,995.29310
101030702.00000,KASARANI,1010307.00000,KASARANI,10103.00000,KASARANI,101.00000,NAIROBI,1.00000,NAIROBI,KASARANI,7,5591,10259,9563,19822,20118,11.86424,1695.68380
101040101.00000,EMBAKASI,1010401.00000,EMBAKASI,10104.00000,EMBAKASI,101.00000,NAIROBI,1.00000,NAIROBI,EMBAKASI,8,4904,10392,8237,18629,19708,37.34370,527.74630
101040102.00000,MIHANGO,1010401.00000,EMBAKASI,10104.00000,EMBAKASI,101.00000,NAIROBI,1.00000,NAIROBI,EMBAKASI,8,1005,1759,1515,3274,3274,26.00861,125.88140
101040201.00000,MUKURU KWA NJENGA,1010402.00000,MUKURU KWA NJENGA,10104.00000,EMBAKASI,101.00000,NAIROBI,1.00000,NAIROBI,EMBAKASI,8,16564,26117,18878,44995,45005,8.50221,5293.32960
101040202.00000,IMARA DAIMA,1010402.00000,MUKURU KWA NJENGA,10104.00000,EMBAKASI,101.00000,NAIROBI,1.00000,NAIROBI,EMBAKASI,8,6278,9922,7324,17246,17266,5.92824,2912.50020
101040301.00000,UMOJA,1010403.00000,UMOJA,10104.00000,EMBAKASI,101.00000,NAIROBI,1.00000,NAIROBI,EMBAKASI,8,14275,28704,33910,62614,62666,4.58351,13672.05480
101040302.00000,SAVANNAH,1010403.00000,UMOJA,10104.00000,EMBAKASI,101.00000,NAIROBI,1.00000,NAIROBI,EMBAKASI,8,10705,16759,13424,30183,30206,4.47295,6753.03770
101040401.00000,KAYOLE,1010404.00000,KAYOLE,10104.00000,EMBAKASI,101.00000,NAIROBI,1.00000,NAIROBI,EMBAKASI,8,25162,38826,36271,75097,75290,1.86392,40393.36450
101040402.00000,KOMAROCK,1010404.00000,KAYOLE,10104.00000,EMBAKASI,101.00000,NAIROBI,1.00000,NAIROBI,EMBAKASI,8,4698,10285,12326,22611,22835,1.72907,13206.52140
101040501.00000,NJIRU,1010405.00000,NJIRU,10104.00000,EMBAKASI,101.00000,NAIROBI,1.00000,NAIROBI,EMBAKASI,8,2917,4655,3278,7933,7961,6.31769,1260.11250
101040502.00000,MAILI SABA,1010405.00000,NJIRU,10104.00000,EMBAKASI,101.00000,NAIROBI,1.00000,NAIROBI,EMBAKASI,8,3368,5271,4496,9767,9769,3.95946,2467.25560
101040601.00000,DANDORA 'A',1010406.00000,DANDORA,10104.00000,EMBAKASI,101.00000,NAIROBI,1.00000,NAIROBI,EMBAKASI,8,15106,22298,20499,42797,42825,1.98935,21527.13200
101040602.00000,DANDORA 'B',1010406.00000,DANDORA,10104.00000,EMBAKASI,101.00000,NAIROBI,1.00000,NAIROBI,EMBAKASI,8,21737,34134,32185,66319,66613,1.97935,33653.97730
101040701.00000,KARIOBANGI SOUTH,1010407.00000,KARIOBANGI SOUTH,10104.00000,EMBAKASI,101.00000,NAIROBI,1.00000,NAIROBI,EMBAKASI,8,4313,7863,8766,16629,16652,1.28422,12966.62570
101040702.00000,MOWLEM,1010407.00000,KARIOBANGI SOUTH,10104.00000,EMBAKASI,101.00000,NAIROBI,1.00000,NAIROBI,EMBAKASI,8,269,461,354,815,815,3.35636,242.82260
101040801.00000,RUAI,1010408.00000,RUAI,10104.00000,EMBAKASI,101.00000,NAIROBI,1.00000,NAIROBI,EMBAKASI,8,2975,5578,5127,10705,10707,38.99516,274.57250
101040802.00000,NGUNDU,1010408.00000,RUAI,10104.00000,EMBAKASI,101.00000,NAIROBI,1.00000,NAIROBI,EMBAKASI,8,443,975,779,1754,1754,60.51261,28.98570
101050101.00000,AIR BASE,1010501.00000,EASTLEIGH NORTH,10105.00000,PUMWANI,101.00000,NAIROBI,1.00000,NAIROBI,KAMUKUNJI,2,8499,18347,15362,33709,33823,5.11206,6616.31510
101050102.00000,EASTLEIGH NORTH,1010501.00000,EASTLEIGH NORTH,10105.00000,PUMWANI,101.00000,NAIROBI,1.00000,NAIROBI,KAMUKUNJI,2,8006,16677,15510,32187,32935,0.89013,37000.21350
101050201.00000,EASTLEIGH SOUTH,1010502.00000,EASTLEIGH SOUTH,10105.00000,PUMWANI,101.00000,NAIROBI,1.00000,NAIROBI,KAMUKUNJI,2,10968,19078,16304,35382,35437,1.01722,34837.10510
101050202.00000,CALIFORNIA,1010502.00000,EASTLEIGH SOUTH,10105.00000,PUMWANI,101.00000,NAIROBI,1.00000,NAIROBI,KAMUKUNJI,2,4190,7826,7062,14888,14953,0.49058,30480.24790
101050301.00000,MAJENGO,1010503.00000,PUMWANI,10105.00000,PUMWANI,101.00000,NAIROBI,1.00000,NAIROBI,KAMUKUNJI,2,5899,9717,7074,16791,17062,0.25085,68016.74310
101050302.00000,GOROFANI/BONDENI,1010503.00000,PUMWANI,10105.00000,PUMWANI,101.00000,NAIROBI,1.00000,NAIROBI,KAMUKUNJI,2,746,1437,919,2356,2593,0.18824,13774.96810
101050303.00000,GIKOMBA,1010503.00000,PUMWANI,10105.00000,PUMWANI,101.00000,NAIROBI,1.00000,NAIROBI,KAMUKUNJI,2,169,204,215,419,419,0.06048,6927.91010
101050401.00000,KIMATHI,1010504.00000,BAHATI,10105.00000,PUMWANI,101.00000,NAIROBI,1.00000,NAIROBI,KAMUKUNJI,2,4040,7491,6250,13741,13769,0.87947,15656.02010
101050402.00000,UHURU,1010504.00000,BAHATI,10105.00000,PUMWANI,101.00000,NAIROBI,1.00000,NAIROBI,KAMUKUNJI,2,6006,12100,13220,25320,25329,1.45497,17408.60640
101050501.00000,SHAURI MOYO,1010505.00000,KAMUKUNJI,10105.00000,PUMWANI,101.00000,NAIROBI,1.00000,NAIROBI,KAMUKUNJI,2,2672,5102,3946,9048,9055,0.66176,13683.20840
101050502.00000,MUTHURWA,1010505.00000,KAMUKUNJI,10105.00000,PUMWANI,101.00000,NAIROBI,1.00000,NAIROBI,KAMUKUNJI,2,3166,4696,3437,8133,8202,0.50563,16221.34760
101050503.00000,KAMUKUNJI,1010505.00000,KAMUKUNJI,10105.00000,PUMWANI,101.00000,NAIROBI,1.00000,NAIROBI,KAMUKUNJI,2,97,221,124,345,897,0.20189,4443.01350
101060101.00000,UPPER PARKLANDS,1010601.00000,PARKLANDS,10106.00000,WESTLANDS,101.00000,NAIROBI,1.00000,NAIROBI,WESTLANDS,6,1915,3248,3053,6301,6437,2.11787,3039.37450
101060102.00000,SPRING VALLEY,1010601.00000,PARKLANDS,10106.00000,WESTLANDS,101.00000,NAIROBI,1.00000,NAIROBI,WESTLANDS,6,1383,2637,2258,4895,4928,2.52535,1951.41270
101060201.00000,LORESHO,1010602.00000,KITISURU,10106.00000,WESTLANDS,101.00000,NAIROBI,1.00000,NAIROBI,WESTLANDS,6,5328,8846,7265,16111,16111,9.52254,1691.88050
101060202.00000,KYUNA,1010602.00000,KITISURU,10106.00000,WESTLANDS,101.00000,NAIROBI,1.00000,NAIROBI,WESTLANDS,6,1410,2499,1883,4382,4385,2.64381,1658.59120
101060203.00000,KITISURU,1010602.00000,KITISURU,10106.00000,WESTLANDS,101.00000,NAIROBI,1.00000,NAIROBI,WESTLANDS,6,2151,3845,2835,6680,7294,8.82173,826.82190
101060301.00000,MUTHAIGA,1010603.00000,HIGHRIDGE,10106.00000,WESTLANDS,101.00000,NAIROBI,1.00000,NAIROBI,WESTLANDS,6,2244,3613,2948,6561,6723,14.16431,474.64370
101060302.00000,KARURA,1010603.00000,HIGHRIDGE,10106.00000,WESTLANDS,101.00000,NAIROBI,1.00000,NAIROBI,WESTLANDS,6,4882,8213,6496,14709,14826,24.66507,601.09300
