LONG,LAT,F_NAME,HMIS_,DIST,DIVISION,F_TYPE,AGENCY
36.84009,-1.137387,ANMER DISP,190,KIAMBU,KIAMBAA,4,MOH
36.6347,-0.978523,BATHI DISP,192,KIAMBU,LARI,4,MISS
36.6171,-1.08108,BIBIRIONI DISP,3731,KIAMBU,LIMURU,4,MISS
36.6896,-1.21635,CHURA DISP,,KIAMBU,KIKUYU,4,MOH
36.7613,-1.1328,CIANDA DISP,193,KIAMBU,KIAMBAA,4,MOH
36.7044,-0.991187,GACHOIRE DISP,,KIAMBU,LARI,4,MOH
36.791234,-1.182312,GATHANGA DISP,931,KIAMBU,KIAMBAA,4,MOH
36.7054,-1.06802,GATHANGARI DISP,,KIAMBU,GITHUNGURI,4,MOH
36.8279,-1.09883,GIATHIEKO DISP,,KIAMBU,GITHUNGURI,4,MOH
36.65,-1.27,GICHARANI DISP,3638,KIAMBU,KIKUYU,4,MISS
36.6689,-1.16126,GICHURU DISP,198,KIAMBU,LIMURU,4,MOH
36.7462,-1.083,GITHIGA HEALTH CENTRE,2401,KIAMBU,GITHUNGURI,3,MOH
36.788,-1.05339,GITHUNGURI HEALTH CENTRE,233,KIAMBU,GITHUNGURI,3,MOH
36.6896,-1.0742,GITIHA HEALTH CENTRE,2398,KIAMBU,GITHUNGURI,3,MOH
36.56731,-1.196205,HOLY CROSS (THIGIO) DISP,612,KIAMBU,LIMURU,4,MISS
36.801234,-1.14234,KAARIA DISP,,KIAMBU,KIAMBAA,4,MOH
36.7467,-1.05093,KAGAA HEALTH CENTRE,2400,KIAMBU,GITHUNGURI,3,MOH
36.743433,-1.001209,KAGWE CATHOLIC MISSION DISP,207,KIAMBU,LARI,4,MISS
36.7392,-1.00448,KAGWE HEALTH CENTRE,2447,KIAMBU,LARI,3,MOH
36.624,-0.870245,KAMAE FOREST DISP,208,KIAMBU,LARI,4,MOH
36.87,-1.1,KAMBUI DISP,209,KIAMBU,GITHUNGURI,4,MISS
36.7082,-1.01588,KAMBURU DISP,4831,KIAMBU,LARI,4,MOH
36.5765,-1.28069,KARAI HEALTH CENTRE,,KIAMBU,KIKUYU,3,MOH
36.82123,-1.174213,KARIA DISP,210,KIAMBU,KIAMBAA,4,MOH
36.78,-1.22,KARURA SDA DISP,,KIAMBU,KIAMBAA,4,MISS
36.7399,-1.18431,KARURI HEALTH CENTRE,261,KIAMBU,KIAMBAA,3,MOH
36.658545,-1.122966,KENTMERE DISP,2413,KIAMBU,LIMURU,4,MISS
36.8456,-1.13999,KIAMBAA DISP,,KIAMBU,KIAMBAA,4,MOH
36.82993,-1.16938,KIAMBU DISTRICT HOSPITAL,251,KIAMBU,KIAMBAA,1,MOH
36.702703,-1.10046,KIAWAROGA DISP,326,KIAMBU,LIMURU,4,MOH
36.783449,-1.157365,KIBUBUTI HEALTH CENTRE,2412,KIAMBU,KIAMBAA,3,MISS
36.648379,-0.921169,KIENI FOREST DISP,215,KIAMBU,LARI,4,MOH
36.619369,-0.858108,KIENI HEALTH CENTRE,2448,KIAMBU,LARI,3,MOH
36.82658,-1.031082,KIGUMO HEALTH CENTRE,237,KIAMBU,GITHUNGURI,3,MOH
36.7386,-1.21091,KIHARA HEALTH CENTRE,216,KIAMBU,KIAMBAA,3,MOH
36.59431,-0.94349,KIJABE HOSPITAL,252,KIAMBU,LARI,1,MISS
36.8684,-1.1077,KIMATHI DISP,,KIAMBU,GITHUNGURI,4,MOH
36.61036,-0.911261,KINALE FOREST DISP,217,KIAMBU,LARI,4,MOH
36.6157,-0.908237,KINALE HEALTH CENTRE,2452,KIAMBU,LARI,3,MOH
36.8203,-1.03614,KIRATINA DISP,,KIAMBU,GITHUNGURI,4,MOH
36.6964,-0.985135,KIRIITA DISP,213,KIAMBU,LARI,4,MOH
36.63,-0.97,KIRIITA MISSION HC,235,KIAMBU,LARI,3,MISS
36.605,-1.02791,LARI HEALTH CENTRE,239,KIAMBU,LARI,3,MOH
36.6366,-1.11593,LIMURU HEALTH CENTRE,240,KIAMBU,LIMURU,3,MOH
36.830408,-1.102112,LIOKI MISSION DISP,3090,KIAMBU,GITHUNGURI,4,MISS
36.771525,-1.192355,LITTLE SERVANT OF SACRET HEART D,435,KIAMBU,KIAMBAA,4,MISS
36.6136,-1.28,LUSIGETTI HEALTH CENTRE,2437,KIAMBU,KIKUYU,3,MOH
36.8,-1.12,MIGAA DISP,321,KIAMBU,KIAMBAA,4,MOH
36.8,-1.07,MIGUTA DISP,,KIAMBU,GITHUNGURI,4,MISS
36.7,-1.18,MOST PRECIOUS BLOOD DISP,3903,KIAMBU,LIMURU,4,MISS
36.7257,-1.13378,NAZARETH HOSPITAL,255,KIAMBU,LIMURU,1,MISS
36.5942,-1.16975,NDEIYA HEALTH CENTRE,3928,KIAMBU,LIMURU,3,MOH
36.60586,-1.142793,NDERU DISP,221,KIAMBU,LIMURU,4,MOH
36.70945,-0.984242,NDURIRI DISP,,KIAMBU,LARI,4,MISS
36.70901,-0.984685,NDURIRI DISP,3974,KIAMBU,LARI,4,MOH
36.617117,-1.069369,NGARARIGA MISSION DISP,3100,KIAMBU,LIMURU,4,MISS
36.670303,-1.169356,NGECHA ORTHODOX  DISP,,KIAMBU,LIMURU,4,MISS
36.863964,-1.092343,NGEWA HEALTH CENTRE,243,KIAMBU,GITHUNGURI,3,MOH
36.8716,-1.10326,NYAGA HEALTH CENTRE,,KIAMBU,GITHUNGURI,3,MOH
36.7031,-1.20204,NYATHUNA HEALTH CENTRE,260,KIAMBU,KIKUYU,3,MOH
