NAME,LONGDD,LATDD
ABABULE,39.78,0.95
ABACHULA,39.53,-0.6
ABADARANT,40.53,1.53
ABAFAYO MELKA,38.97,1.2
ABAGERANSO,40.32,1.75
ABAHAMA,39.87,-0.82
ABAHIRINGERASUBLOCATION,34.57,-1.18
ABACHULA,39.05,-0.53
ABAKDER,40.27,1.03
ABAKDERA,39.85,-0.52
ABAKFIN,40.65,1.73
ABAKUNO,39.45,-1.87
ABALO,38.88,3.12
ABAMAGADO,38.02,1.52
ABARAGA NAMBALA,38.43,0.32
ABAROT,39.75,-0.58
ABARAT,39.72,-0.57
ABASULA,38.92,-1.93
ABDURRAHMAN EL,40.05,2.88
ABENDERA MORU,34.47,3.7
ABENYO EMURU,36.62,1.6
ABERDAREESTATES,36.48,-0.13
ABERDAREFOREST,36.43,0.13
ABERDAREFOREST,36.07,-0.05
ABERDARENATIONALPARK,36.07,-0.42
ABERDAREMOUNTAINS,36.63,-0.42
ABERIT,35.4,1.08
ABIDIDAN MELKA,39.35,1.05
ABIERO,34.25,-0.18
ABILIAGITUK,36.6,2.42
ABLA,40.45,4.1
ABOBOKA,38.98,-2.07
ABOGETA,37.63,-0.12
ABOM,34.35,-0.03
ABORA,38.57,-3.25
ABORE,39.08,0.53
ABOS,35.08,-0.9
ABOSI,35.07,-0.9
ABOTHUGUCHIUPPER,37.58,0.02
ABRAHAMSCAMP,35.42,1.82
ABSEGE,35.72,-0.55
ABULO,40.6,3.08
ABURADAM,34.3,0.08
ABURRYO,35.68,0.68
ABURUTIN,36.2,0.85
ABWAW,34.37,-1.03
ABYSSINIANCAMP,37.88,-3.15
ABYSSINIANROAD,37.85,-3.22
ACHEGO,34.58,-0.52
ACHIPTERUSS,35.22,1.87
ACHIVWA,39.15,-3.77
ACHOL,34.35,-0.53
ACHUME,34.58,-0.52
ACHUTH,34.53,-1.03
ACTONROAD,34.72,-0.05
ADA,39.08,-4.2
ADABLI,40.43,0.82
ADABOTA,39.53,-0.42
ADADA,38.9,3.05
ADADI,38.77,3.4
ADAWACHEKE,36.98,1.85
ADE,39.12,2.6
ADDE MELKA,39.43,1.02
ADE WEL,40.97,1.65
ADEDERTU,39.78,-0.35
ADEDER,40.68,0.3
ADEDER,40.43,0.78
ADENAWALE,39.27,2.13
ADENKAALIGOLIO,40.1,2.63
ADHIRO,34.53,-0.38
ADDI,39.3,-1.85
ADI EL,37.55,3.82
ADI KUBI,38.03,2.32
ADIEDO,34.6,-0.43
ADILAKAPEL,36.28,2.8
ADILE,39.7,3.03
ADIMASAWMILL,35.97,-0.57
ADINGO,34.93,-0.35
ADINGOOPANGA,34.85,-0.37
ADO OLKEJU,37.28,-2.45
ADOKETNGITHIKIRIA,36.35,1.9
ADOMEYAN,36.12,0.85
ADRUKOIT,34.92,1.37
ADUDUSHE,34.68,0.12
AFALO,40.22,3.52
AFAMBUK,39.02,-0.02
AFAR,39.25,3.03
AFATU,40.28,2.37
AFGAB,37.53,3.18
AFGUDUD LAGA,38.78,2.87
AFIEJI LAGA,39.75,-2.13
AFTUTI,39.32,-2.47
AFUR,37.12,4.32
AFWEIN,39.42,0.43
AFWEIN LAK,39.65,0.48
AFYUR,40.08,1.65
AGA,39.58,-0.6
AGA,39.57,-0.6
AGAI,35.57,-0.4
AGENGA,34.25,-0.93
AGENGA,34.65,-0.05
AGETOGIR,35.72,3.73
AGITOR,35.47,2.02
AGOLOMUOK,34.12,-0.78
AGONDA,34.03,-0.02
AGORO,34.95,-0.25
AGORO,34.8,-0.05
AGOROSARE,34.73,-0.05
AGOROSUBLOCATION,34.03,0.07
AGOROSUBLOCATION,34.98,-0.27
AGOTA,35.32,1.9
AGULEIAKIRR,34.35,4.18
AGULI,35.95,1.82
AGULO,34.52,-0.58
AGULU,34.27,0.13
AGUTHI,37.03,-0.05
AGUTHILOCATION,37.03,-0.05
AHERO,34.92,-0.18
AHMEDGHONGHO,40.48,-1.58
AHONO,34.55,0.07
AICHARA,35.42,2.47
AIMO,34.6,-0.57
AIMO,34.62,-0.57
AINABKOI,35.18,-0.47
AINABKOI,35.52,0.02
AINABKOI,35.65,0.03
