STID,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29
101010101,3,4,1,3,0,6,3,1,7,4,2,1,2,6,23,6,5,0,2,4,6,1,4,7,0,7,6,5,0,7
101010102,3,4,3,0,6,1,5,2,2,4,6,7,2,3,57,7,4,3,7,0,7,3,3,7,0,1,4,0,7,4
101010201,0,4,5,1,2,3,4,7,7,7,2,3,0,2,63,2,4,5,0,4,2,0,5,3,5,3,7,5,6,7
101010202,2,7,5,4,1,2,1,6,0,5,6,3,6,7,04,3,2,4,0,5,7,2,4,6,5,1,2,4,2,5
101010301,5,4,4,3,6,4,4,7,7,7,3,4,3,5,72,2,6,6,4,7,3,7,4,1,4,3,6,4,2,4
101010302,1,1,5,7,4,3,6,3,2,3,0,4,2,4,27,4,5,1,3,2,7,7,7,2,3,5,0,4,4,2
101010303,7,5,4,3,0,0,6,4,4,4,1,6,2,1,64,7,0,7,6,4,7,7,0,2,7,6,4,1,6,2
101010401,1,7,2,3,0,0,0,1,0,0,1,0,1,2,63,7,3,0,1,1,2,2,7,1,0,2,6,6,6,6
101010402,5,2,3,3,5,5,0,7,3,7,3,7,4,3,02,1,1,1,2,6,7,0,3,6,4,1,7,0,0,4
101010501,3,3,3,5,0,3,4,6,6,6,2,1,7,0,02,1,6,4,0,3,4,4,7,7,6,7,1,1,2,0
101010502,0,1,1,2,1,3,1,1,3,1,7,1,2,0,54,1,7,7,6,4,6,7,7,6,7,2,1,5,1,7
101020101,6,0,7,7,2,4,3,6,7,0,6,2,2,0,57,1,2,3,1,3,7,0,5,1,1,4,4,5,5,3
101020102,5,0,5,2,3,4,2,4,3,0,0,0,1,2,75,2,1,7,2,4,5,6,0,4,5,1,6,2,5,1
101020201,6,5,4,1,5,0,1,7,3,0,7,7,0,7,07,3,6,6,0,6,2,6,1,2,1,3,2,7,7,1
101020202,4,5,5,6,3,4,4,5,6,2,4,7,2,3,57,6,3,0,5,7,0,7,7,6,0,5,7,7,7,5
101020203,3,3,0,4,6,3,2,6,7,7,6,4,2,2,56,3,5,4,5,6,1,6,4,4,5,7,0,6,4,4
101020301,5,6,2,7,1,1,2,6,6,4,4,3,3,2,63,6,7,4,4,7,5,3,7,0,4,5,0,4,0,4
101020302,7,0,6,2,3,2,4,5,2,0,2,4,1,5,02,0,3,7,1,1,7,5,3,7,5,0,4,3,5,3
101020401,4,4,4,3,3,2,0,7,3,6,6,4,5,4,23,4,1,0,6,4,6,7,2,6,3,4,2,0,4,4
101020402,5,4,7,3,2,4,0,2,0,5,3,6,3,0,13,0,2,4,1,0,3,1,7,1,3,6,2,0,3,5
101020501,7,1,0,0,7,4,2,2,6,6,6,0,6,6,42,1,4,3,6,5,0,1,3,4,3,3,3,6,0,2
101020502,1,2,4,4,3,7,3,3,5,1,3,6,3,0,36,0,3,1,4,7,1,2,5,4,4,3,4,7,0,5
101030101,2,6,1,0,4,3,3,5,3,3,3,5,6,3,20,6,2,1,0,7,0,4,1,0,2,1,4,5,6,5
101030102,6,2,2,5,4,4,0,5,4,4,5,3,7,1,32,6,3,2,2,6,6,6,2,5,7,4,2,5,4,4
101030201,6,5,2,2,3,2,0,2,1,1,5,1,1,1,22,6,7,3,3,6,7,4,4,7,5,0,0,5,4,5
101030202,3,1,4,2,2,5,3,6,2,0,4,6,1,4,37,4,0,0,0,7,5,7,0,4,0,7,6,7,7,6
101030301,2,2,2,5,6,6,4,3,6,3,1,5,5,6,31,0,1,0,7,2,7,5,7,0,4,4,5,7,5,4
101030302,1,4,2,3,7,0,6,0,4,1,4,3,0,0,16,4,6,3,7,5,4,0,5,4,6,3,7,5,6,3
101030303,0,5,7,0,1,4,4,5,6,4,3,3,2,2,20,1,0,4,3,5,1,5,7,1,4,7,1,4,7,3
101030401,3,3,6,6,5,6,7,7,1,4,1,6,4,3,13,7,1,2,1,5,3,5,4,6,4,0,6,0,2,0
101030402,0,2,6,1,1,0,2,5,3,2,3,1,1,6,65,7,5,2,6,4,0,6,7,1,2,2,0,0,1,0
101030501,4,1,3,4,5,7,2,4,5,5,5,1,4,6,12,6,1,7,5,7,2,1,0,7,7,6,2,0,4,0
101030502,2,7,7,2,1,6,5,6,2,1,4,0,1,7,14,2,5,7,3,5,4,3,0,6,7,4,5,3,0,5
101030503,5,2,2,7,3,1,2,6,5,0,3,7,3,1,60,0,4,1,6,5,1,4,4,1,2,6,1,1,2,3
101030601,0,6,2,6,2,2,5,0,5,3,2,6,1,0,00,7,2,7,0,4,3,1,3,3,3,0,2,1,4,6
101030602,5,1,0,5,5,4,0,3,3,2,4,1,6,3,35,4,4,5,3,0,4,0,2,7,0,3,2,6,0,4
101030603,2,6,7,6,3,0,3,1,3,1,4,3,1,2,10,6,3,4,4,2,0,4,4,5,5,0,6,5,4,7
101030701,1,5,2,2,6,1,0,2,1,2,6,6,4,1,43,7,3,0,1,2,1,2,2,6,0,2,7,6,3,2
101030702,1,5,7,5,7,2,7,6,2,0,0,1,0,6,06,2,6,3,2,3,4,7,0,5,4,4,7,0,7,4
101040101,3,3,7,5,4,3,1,7,6,2,0,7,2,6,75,4,0,3,0,6,4,3,0,7,5,5,1,7,2,1
101040102,6,1,5,6,0,2,5,1,3,5,4,2,2,0,40,5,0,6,1,1,6,0,7,3,7,4,0,5,6,1
101040201,4,4,2,0,0,2,5,7,6,1,7,6,4,0,76,6,3,0,3,5,7,2,5,6,4,6,6,7,2,0
101040202,2,0,3,1,2,2,1,4,2,4,7,7,3,0,35,6,5,2,3,6,5,1,7,5,3,2,5,1,3,2
101040301,6,4,3,6,7,0,1,6,0,7,0,7,0,2,77,4,0,7,6,6,6,7,5,4,3,6,1,2,0,7
101040302,6,2,2,5,7,4,7,5,5,0,1,1,1,1,56,5,3,2,4,7,3,1,6,0,1,2,5,3,3,6
101040401,7,3,7,2,5,3,3,2,4,1,2,3,1,6,02,6,4,4,6,3,3,3,7,3,0,7,4,1,2,3
101040402,2,1,7,1,5,7,5,6,4,3,7,3,0,6,37,1,3,5,3,0,3,7,4,1,3,1,2,0,3,5
101040501,3,0,2,7,1,0,2,1,6,4,7,1,6,4,22,4,5,5,1,4,3,4,5,4,1,2,5,5,0,1
101040502,4,0,3,3,7,7,1,5,3,5,5,0,0,5,70,1,4,4,2,2,5,5,7,6,6,1,6,5,2,5
101040601,7,3,6,7,0,3,2,6,1,7,5,7,4,4,30,0,6,7,3,4,6,3,0,5,6,5,0,2,2,2
101040602,7,6,6,6,7,2,2,6,7,0,4,6,1,3,54,2,6,5,3,0,4,6,7,2,2,3,7,2,7,3
101040701,7,5,1,5,3,3,5,7,0,3,5,7,7,3,42,1,4,4,5,2,6,3,5,1,6,6,7,0,4,3
101040702,0,6,6,6,7,5,6,1,6,6,3,4,0,0,00,2,0,0,4,4,1,6,3,7,1,0,2,7,7,4
101040801,3,0,2,5,3,5,2,5,4,2,3,7,7,4,61,1,2,6,3,6,6,3,3,0,0,3,0,6,5,5
101040802,0,7,1,3,3,5,0,1,7,4,1,3,6,6,76,1,2,0,2,1,2,5,5,4,3,5,2,7,0,4
101050101,2,2,7,5,7,1,6,5,3,3,7,2,4,6,24,7,4,5,6,3,4,0,7,0,5,7,1,1,4,1
101050102,6,4,5,4,1,1,3,6,6,6,6,7,3,5,46,7,3,0,4,2,3,0,7,0,3,2,0,5,1,1
101050201,2,4,7,0,7,0,4,6,1,0,3,6,7,5,62,3,5,0,1,3,2,0,5,5,3,0,4,5,3,6
101050202,1,2,5,2,3,1,3,5,6,7,1,5,3,2,06,4,1,6,6,5,6,0,0,2,1,4,6,6,0,6
101050301,0,0,0,2,7,0,1,7,6,0,1,3,6,4,44,1,3,3,1,4,7,5,4,1,3,1,5,2,6,7
101050302,1,0,3,2,3,1,3,1,5,0,0,6,5,7,61,4,5,6,5,4,1,5,7,0,0,6,6,6,6,6
101050303,7,3,3,5,0,1,7,7,2,5,5,6,2,5,57,2,6,0,6,0,4,7,1,2,7,6,7,4,7,2
101050401,3,1,7,3,6,4,4,5,5,0,6,1,4,5,07,1,4,5,0,6,5,0,4,6,2,6,4,0,6,5
101050402,7,6,3,1,2,7,4,2,0,0,0,0,2,5,75,6,3,3,0,0,6,7,4,0,7,4,4,7,4,5
101050501,7,5,2,2,4,6,1,1,4,3,7,3,7,3,74,1,4,7,2,7,4,5,3,0,0,3,4,3,0,4
101050502,2,5,2,5,5,0,3,6,1,7,6,7,5,2,63,4,7,0,6,4,1,5,3,7,3,3,1,1,6,5
101050503,1,3,6,6,7,2,1,6,4,5,7,1,1,1,42,1,1,7,6,0,6,3,3,5,3,5,7,6,2,7
101060101,5,4,4,6,7,6,0,7,7,1,0,7,3,5,72,2,4,0,5,7,6,4,4,0,1,5,6,6,6,0
